"","horautc","horarioutc","periodia","dia","mes","ano"
"1","02","0200","n","25","02","2021"
"2","02","0215","n","25","02","2021"
"3","02","0230","n","25","02","2021"
"4","02","0245","n","25","02","2021"
"5","03","0300","n","25","02","2021"
"6","03","0315","n","25","02","2021"
"7","03","0330","n","25","02","2021"
"8","03","0345","n","25","02","2021"
"9","04","0400","n","25","02","2021"
"10","04","0415","n","25","02","2021"
"11","04","0430","n","25","02","2021"
"12","04","0445","n","25","02","2021"
"13","08","0800","m","25","02","2021"
"14","08","0815","m","25","02","2021"
"15","08","0830","m","25","02","2021"
"16","08","0845","m","25","02","2021"
"17","09","0900","m","25","02","2021"
"18","09","0915","m","25","02","2021"
"19","09","0930","m","25","02","2021"
"20","09","0945","m","25","02","2021"
"21","10","1000","m","25","02","2021"
"22","10","1015","m","25","02","2021"
"23","10","1030","m","25","02","2021"
"24","10","1045","m","25","02","2021"
"25","20","2000","t","25","02","2021"
"26","20","2015","t","25","02","2021"
"27","20","2030","t","25","02","2021"
"28","20","2045","t","25","02","2021"
"29","21","2100","t","25","02","2021"
"30","21","2115","t","25","02","2021"
"31","21","2130","t","25","02","2021"
"32","21","2145","t","25","02","2021"
"33","22","2200","t","25","02","2021"
"34","22","2215","t","25","02","2021"
"35","22","2230","t","25","02","2021"
"36","22","2245","t","25","02","2021"
"37","02","0200","n","26","02","2021"
"38","02","0215","n","26","02","2021"
"39","02","0230","n","26","02","2021"
"40","02","0245","n","26","02","2021"
"41","03","0300","n","26","02","2021"
"42","03","0315","n","26","02","2021"
"43","03","0330","n","26","02","2021"
"44","03","0345","n","26","02","2021"
"45","04","0400","n","26","02","2021"
"46","04","0415","n","26","02","2021"
"47","04","0430","n","26","02","2021"
"48","04","0445","n","26","02","2021"
"49","08","0800","m","26","02","2021"
"50","08","0815","m","26","02","2021"
"51","08","0830","m","26","02","2021"
"52","08","0845","m","26","02","2021"
"53","09","0900","m","26","02","2021"
"54","09","0915","m","26","02","2021"
"55","09","0930","m","26","02","2021"
"56","09","0945","m","26","02","2021"
"57","10","1000","m","26","02","2021"
"58","10","1015","m","26","02","2021"
"59","10","1030","m","26","02","2021"
"60","10","1045","m","26","02","2021"
"61","20","2000","t","26","02","2021"
"62","20","2015","t","26","02","2021"
"63","20","2030","t","26","02","2021"
"64","20","2045","t","26","02","2021"
"65","21","2100","t","26","02","2021"
"66","21","2115","t","26","02","2021"
"67","21","2130","t","26","02","2021"
"68","21","2145","t","26","02","2021"
"69","22","2200","t","26","02","2021"
"70","22","2215","t","26","02","2021"
"71","22","2230","t","26","02","2021"
"72","22","2245","t","26","02","2021"
"73","02","0200","n","27","02","2021"
"74","02","0215","n","27","02","2021"
"75","02","0230","n","27","02","2021"
"76","02","0245","n","27","02","2021"
"77","03","0300","n","27","02","2021"
"78","03","0315","n","27","02","2021"
"79","03","0330","n","27","02","2021"
"80","03","0345","n","27","02","2021"
"81","04","0400","n","27","02","2021"
"82","04","0415","n","27","02","2021"
"83","04","0430","n","27","02","2021"
"84","04","0445","n","27","02","2021"
"85","08","0800","m","27","02","2021"
"86","08","0815","m","27","02","2021"
"87","08","0830","m","27","02","2021"
"88","08","0845","m","27","02","2021"
"89","09","0900","m","27","02","2021"
"90","09","0915","m","27","02","2021"
"91","09","0930","m","27","02","2021"
"92","09","0945","m","27","02","2021"
"93","10","1000","m","27","02","2021"
"94","10","1015","m","27","02","2021"
"95","10","1030","m","27","02","2021"
"96","10","1045","m","27","02","2021"
"97","20","2000","t","27","02","2021"
"98","20","2015","t","27","02","2021"
"99","20","2030","t","27","02","2021"
"100","20","2045","t","27","02","2021"
"101","21","2100","t","27","02","2021"
"102","21","2115","t","27","02","2021"
"103","21","2130","t","27","02","2021"
"104","21","2145","t","27","02","2021"
"105","22","2200","t","27","02","2021"
"106","22","2215","t","27","02","2021"
"107","22","2230","t","27","02","2021"
"108","22","2245","t","27","02","2021"
"109","02","0200","n","28","02","2021"
"110","02","0215","n","28","02","2021"
"111","02","0230","n","28","02","2021"
"112","02","0245","n","28","02","2021"
"113","03","0300","n","28","02","2021"
"114","03","0315","n","28","02","2021"
"115","03","0330","n","28","02","2021"
"116","03","0345","n","28","02","2021"
"117","04","0400","n","28","02","2021"
"118","04","0415","n","28","02","2021"
"119","04","0430","n","28","02","2021"
"120","04","0445","n","28","02","2021"
